dim,nthreads,prec,N,cpu_time_ns,real_time_ns,cpu_time_stddev_ns,repetitions,time_unit,l2_cache_bytes,l3_cache_bytes
1,1,d,100.0,352.7000000000131,356.70000215759507,27.219937545855213,8,ns,1048576,16777216
1,1,f,100.0,281.5000000000196,285.399983113166,84.03310572112736,8,ns,1048576,16777216
1,1,d,225.0,734.4000000000275,739.3999112537131,5.209880722497096,8,ns,1048576,16777216
1,1,f,225.0,569.0000000000035,573.1000783271157,30.85764549854268,8,ns,1048576,16777216
1,1,d,486.0,1667.1000000000222,1672.2002328606322,16.58562200045112,8,ns,1048576,16777216
1,1,f,486.0,1092.1000000000108,1098.100074159447,41.0537539609533,8,ns,1048576,16777216
1,1,d,1080.0,3716.000000000006,3712.999932758976,396.09043610194266,8,ns,1048576,16777216
1,1,f,1080.0,2091.0000000000286,2094.00004678173,9.498120114743346,8,ns,1048576,16777216
1,1,d,2400.0,8845.600000000064,8849.600089888556,792.8969663743883,8,ns,1048576,16777216
1,1,f,2400.0,4632.8,4640.599945560099,38.328467600082796,8,ns,1048576,16777216
1,1,d,5120.0,20423.299999999985,20436.50001724018,822.6388254531438,8,ns,1048576,16777216
1,1,f,5120.0,9518.799999999954,9511.00009842776,47.830228039020355,8,ns,1048576,16777216
1,1,d,11520.0,69992.19999999969,70014.70003160648,2220.2048367533216,8,ns,1048576,16777216
1,1,f,11520.0,23464.999999999945,23484.199846279807,793.9015987963857,8,ns,1048576,16777216
1,1,d,25000.0,193680.3000000001,193674.3001351715,35652.43345819051,8,ns,1048576,16777216
1,1,f,25000.0,67859.30000000018,67824.59986425238,1926.4632190328718,8,ns,1048576,16777216
1,1,d,54675.0,409440.899999998,409483.40010800166,60850.778580715974,8,ns,1048576,16777216
1,1,f,54675.0,315485.5999999998,315455.50027658464,4274.276621756304,8,ns,1048576,16777216
1,1,d,120000.0,915051.2999999999,915043.6999334488,101622.29605655378,8,ns,1048576,16777216
1,1,f,120000.0,690531.2000000011,690537.3000336114,122443.88923082617,8,ns,1048576,16777216
1,1,d,262144.0,1877107.5000000026,1877162.8001559293,211087.6604604282,8,ns,1048576,16777216
1,1,f,262144.0,1347412.099999998,1347376.9999109209,158347.5076814456,8,ns,1048576,16777216
1,1,d,576000.0,8599892.399999976,8600714.900057938,1148357.9280000743,8,ns,1048576,16777216
1,1,f,576000.0,3294621.9999999916,3296323.899849085,151407.16031653452,8,ns,1048576,16777216
1,1,d,1265625.0,27336143.500000045,27339729.699815508,509902.06585182337,8,ns,1048576,16777216
