thread,busy_ms,nsub,npts
0,351.4185,1,524288
1,491.4034,2,1048576
2,366.7389,1,524288
3,492.5641,2,1048576
4,502.1567,2,1048576
5,353.3708,1,524288
6,552.1491,2,1048576
7,357.4891,1,524288
8,487.6046,2,1048576
9,491.1940,2,1048576
10,487.8630,2,1048576
11,552.2448,2,1048576
12,352.6090,1,524288
13,500.3466,2,1048576
14,552.5383,2,1048576
15,354.5053,1,524288
16,491.9366,2,1048576
17,354.6347,1,524288
18,351.7758,1,524288
19,546.9288,2,1048576
20,503.5378,2,1048576
21,493.1112,2,1048576
22,358.1832,1,524288
23,490.0512,2,1048576
24,490.3031,2,1048576
25,545.5794,2,1048576
26,360.2290,1,524288
27,357.8504,1,524288
28,551.8420,2,1048576
29,552.0621,2,1048576
30,356.0150,1,524288
31,359.3922,1,524288
32,503.1313,2,1048576
33,492.6636,2,1048576
34,493.1512,2,1048576
35,359.5160,1,524288
36,492.7714,2,1048576
37,548.4290,2,1048576
38,361.6399,1,524288
39,357.5219,1,524288
