trial,time_s,spread_max_sp_size,spread_sort,upsampfac,spread_nthr_atomic,spread_bin_size_x,spread_bin_size_y
145,0.623,154585,1,1.25,100,266,5
146,8.0,524288,0,1.783,1,4,1
147,0.936,38724,1,1.464,1,8192,45
148,0.549,122998,1,1.341,1,8192,3
149,8.0,1000,0,1.546,1,4,1
150,8.0,524288,0,1.328,100,4,1
151,0.673,329146,1,1.423,1,42,50
152,6.106,1000,1,1.656,100,4,2048
153,0.526,19133,1,1.25,1,20,87
154,1.025,524288,1,1.465,1,8192,65
155,0.538,30936,1,1.25,1,21,20
156,8.0,1000,1,1.413,1,574,2048
157,0.675,33797,1,1.457,1,4,173
158,0.525,150568,1,1.25,1,81,1
159,0.656,128831,1,1.423,1,160,7
160,0.607,84084,1,1.45,1,8192,4
161,0.529,91609,1,1.25,1,420,20
162,0.635,37808,1,1.444,1,211,8
163,0.803,68800,1,1.25,100,26,122
164,0.527,9808,1,1.25,1,4,108
165,1.65,19197,1,1.357,1,8192,1
166,1.112,524288,1,1.973,1,4,33
167,1.02,524288,1,1.968,1,75,1
168,0.572,25026,1,1.25,1,7,74
169,0.506,22046,1,1.25,1,111,36
170,0.667,1227,1,1.466,1,4,71
171,0.664,6728,1,1.447,1,4,39
172,2.218,524288,1,1.658,100,8192,1
173,4.852,1000,1,1.931,100,4,2048
174,0.529,91418,1,1.25,1,68,5
175,0.871,316310,1,1.341,100,8192,32
176,0.474,5085,1,1.25,1,24,71
177,1.201,3736,1,1.472,100,4,334
178,0.578,1000,1,1.25,1,4,19
179,0.552,3456,1,1.25,1,4,35
180,2.628,1000,1,1.511,1,4,1
181,0.544,3352,1,1.25,1,25,17
182,1.569,1000,1,1.25,1,4,1
183,0.541,1258,1,1.25,1,8,61
184,2.996,524288,1,1.813,1,4,2048
185,8.0,524288,0,1.25,100,8192,2048
186,2.294,524288,1,1.315,100,4,2048
187,0.646,192646,1,1.327,100,8192,7
188,2.094,524288,1,1.646,100,4,58
189,0.925,524288,1,2.0,1,4,28
190,0.875,32356,1,2.0,1,861,1
