configuration,prec,dim,size,density,tol,upsampfac,complexity,cpu_time_ns,real_time_ns,time_unit
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.0001,1.75,160000000.0,173009320.99999988,173475485.37327385,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.0001,1.8,160000000.0,173820411.37499994,174284099.2501442,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.0001,1.85,160000000.0,173948460.50000012,174417506.62510458,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.0001,1.9,160000000.0,173637648.62499976,174111801.2505467,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.0001,1.9500000000000002,160000000.0,171870323.3750003,172330793.62631541,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,0.0001,2.0,160000000.0,173086945.50000015,173547794.62402803,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,1.25,160000000.0,174848243.62499994,175327481.25086072,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,1.3,160000000.0,175382448.37500006,175856380.1249693,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,1.35,160000000.0,175612749.62499994,176088203.37591168,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,1.4,160000000.0,173804359.8750001,174294333.3738367,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,1.45,160000000.0,174756008.87499997,175239394.87546158,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,1.5,160000000.0,174225480.87499988,174697250.74988672,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,1.55,160000000.0,182145404.25000015,182646149.75123549,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,1.6,160000000.0,174750096.37499973,175220970.49914008,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,1.65,160000000.0,171512477.37499985,171971480.74956203,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,1.7,160000000.0,171935829.74999976,172396843.8745942,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,1.75,160000000.0,171698762.99999976,172163958.99959025,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,1.8,160000000.0,184603577.1250003,185118321.75136077,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,1.85,160000000.0,171856883.37500027,172333419.8741213,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,1.9,160000000.0,171715375.25000024,172193764.37606114,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,1.9500000000000002,160000000.0,180246937.6250002,180730848.12567687,ns
16000x1x1-precf-thread1-M1e+07,f,1,16000,625.0,1e-05,2.0,160000000.0,171706149.12499982,172175096.87543496,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,1.25,160000000.0,187677937.00000012,188187109.37557626,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,1.3,160000000.0,187661431.99999985,188159499.87401837,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,1.35,160000000.0,187856400.74999988,188377267.8738751,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,1.4,160000000.0,187821825.74999994,188335239.25059125,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,1.45,80000000.0,173425678.1250001,173889588.5009697,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,1.5,80000000.0,173017417.49999967,173474076.50049716,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,1.55,80000000.0,173353086.99999973,173809207.25008765,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,1.6,80000000.0,173356428.24999997,173802975.8744233,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,1.65,80000000.0,173094305.62499982,173549256.87504873,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,1.7,80000000.0,172885163.50000015,173362303.12503177,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,1.75,80000000.0,171929238.49999976,172371906.12468112,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,1.8,80000000.0,172026745.37500018,172480490.50067493,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,1.85,80000000.0,171883928.62500024,172328654.87494564,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,1.9,80000000.0,173098384.87499985,173585551.12514296,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,1.9500000000000002,80000000.0,174052711.4999999,174505445.25127044,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,0.001,2.0,80000000.0,173078801.87499958,173547921.87506974,ns
16000x1x1-precd-thread1-M1e+07,d,1,16000,625.0,1e-06,1.25,240000000.0,204899974.24999994,205424902.3749435,ns
