dim,density,nthreads,max_sp,M,N_total,rep,spread_s,cycles_total,gather_pct,spread_pct,add_pct,other_pct,gather_cycles,spread_cycles,add_cycles,gather_ms,spread_ms,add_ms
1,0.25,all,54677,44739242,178956968,0,0.197,319465703380,3.12,1.06,3.39,91.85,9.9673e+09,3.3863e+09,1.0830e+10,81.19,27.59,88.22
1,0.25,all,127851,44739242,178956968,0,0.207,329335898985,3.63,1.26,3.57,90.94,1.1955e+10,4.1496e+09,1.1757e+10,88.82,30.83,87.35
1,0.25,all,298956,44739242,178956968,0,0.231,321760947425,3.32,1.23,3.54,91.29,1.0682e+10,3.9577e+09,1.1390e+10,94.8,35.12,101.08
1,0.25,all,699051,44739242,178956968,0,0.273,211106745504,3.9,1.16,3.27,91.13,8.2332e+09,2.4488e+09,6.9032e+09,127.82,38.02,107.17
1,0.5,1,10000,44739242,89478484,0,1.1,26900463540,9.43,3.16,1.42,85.78,2.5367e+09,8.5005e+08,3.8199e+08,740.4,248.11,111.49
1,0.5,1,53720,44739242,89478484,0,1.17,27254627167,8.46,4.15,1.96,85.14,2.3057e+09,1.1311e+09,5.3419e+08,679.35,333.25,157.39
1,0.5,1,288586,44739242,89478484,0,1.17,27121416931,8.79,4.08,2.03,84.85,2.3840e+09,1.1066e+09,5.5056e+08,690.22,320.38,159.4
1,0.5,1,1550291,44739242,89478484,0,1.27,27036800631,8.94,4.32,2.42,83.97,2.4171e+09,1.1680e+09,6.5429e+08,724.09,349.9,196.01
1,0.5,1,8328195,44739242,89478484,0,1.46,28433915181,8.91,4.28,2.68,83.87,2.5335e+09,1.2170e+09,7.6203e+08,819.7,393.75,246.55
1,0.5,1,44739242,44739242,89478484,0,1.69,28946664394,8.67,4.19,2.58,84.27,2.5097e+09,1.2129e+09,7.4682e+08,948.98,458.62,282.4
1,0.5,8,10000,44739242,89478484,0,0.183,35636476335,8.63,2.99,1.57,86.49,3.0754e+09,1.0655e+09,5.5949e+08,119.73,41.48,21.78
1,0.5,8,35442,44739242,89478484,0,0.205,36153841499,7.98,3.3,1.93,86.03,2.8851e+09,1.1931e+09,6.9777e+08,123.84,51.21,29.95
